RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
94901,85324,AZ,Prescott,Yavapai,Black Canyon City,11464,194169,0.012266964,0.013080318,0.083012617,0.120481866,0.00474263,2007-05,2007-Q2,218219,-0.110210385,2006-11
99971,98812,WA,,Okanogan,Brewster,11465,148245,0.004451581,0.010538586,0.084304303,0.044148853,0.011595147,2018-03,2018-Q1,148245,0,2018-03
67550,23124,VA,Richmond,New Kent,New Kent,11466,245106,0.000167303,0.002019525,0.032629623,0.03453189,0.002952241,2006-08,2006-Q3,246248,-0.004637601,2006-07
59148,03576,NH,Berlin,Coos,Stewartstown,11467,106601,-0.006106884,-0.015233256,0.00867681,0.02701737,-0.009226805,2007-04,2007-Q2,125271,-0.149036888,2005-06
74117,37031,TN,Nashville,Sumner,Castalian Springs,11468,196296,0.008684213,0.028966819,0.081139433,0.089953753,0.037223048,2018-03,2018-Q1,196296,0,2018-03
79650,49267,MI,Monroe,Monroe,Ottawa Lake,11469,168467,-0.008154158,-0.008761091,-0.011732476,0.049190981,0.02254212,2017-07,2017-Q3,173775,-0.030545245,2017-02
59000,03034,NH,Boston,Rockingham,Candia,11470,284892,0.002516038,0.012240315,0.063454439,0.060468536,0.012246503,2005-12,2005-Q4,289415,-0.015628077,2005-09
59164,03598,NH,Berlin,Coos, Whitefield,11471,165798,-0.011011429,-0.017272038,0.044199521,0.039955544,-0.000245149,2007-04,2007-Q2,182045,-0.089247164,2005-01
64893,17062,PA,Harrisburg,Perry,Tuscarora,11472,152099,-0.000295772,0.007725282,0.025935219,0.029373003,0.00879127,2018-02,2018-Q1,152144,-0.000295772,2018-02
77451,45118,OH,Cincinnati,Brown,Fayetteville,11473,141829,0.014143624,0.03984017,0.098640536,0.064984094,0.01755437,2018-03,2018-Q1,141829,0,2018-03
77346,44837,OH,Norwalk,Huron,Greenwich,11474,79212,-0.004261417,-0.023857643,-0.001311211,0.025278,0.011181646,2006-07,2006-Q3,81530,-0.028431252,2005-10
77338,44824,OH,Sandusky,Erie,Castalia,11475,129472,0.010055936,0.023049267,0.022306095,0.027570899,0.001450425,2006-01,2006-Q1,133212,-0.028075549,2005-02
67888,23950,VA,,Mecklenburg,La Crosse,11476,83645,-0.000728741,-0.003431308,0.022542512,-0.000839534,-0.005603729,2006-03,2006-Q1,117625,-0.288884166,2003-09
100028,98932,WA,Yakima,Yakima,Granger,11477,147544,0.001072015,0.00870992,0.150323944,0.071058587,0.034088846,2018-03,2018-Q1,147544,0,2018-03
60731,07640,NJ,New York,Bergen,Harrington Park,11478,592789,-0.001842114,0.001798133,0.057053036,0.017656446,-0.00135143,2006-02,2006-Q1,685051,-0.134679024,2004-09
62356,12051,NY,,Greene, Coxsackie,11479,160094,0.001958931,0.009311738,0.040328031,0.027454016,-0.00561662,2007-06,2007-Q2,176257,-0.091701323,2005-06
97362,93615,CA,Visalia,Tulare,Cutler,11480,146764,-0.002087427,-0.000524377,0.06106219,0.102586567,0.00309361,2007-02,2007-Q1,176714,-0.169482893,2005-06
